symbol,name,exchange,sector,industry
COFORGE,Coforge Ltd,NSE,Technology,IT Services & Consulting
MPHASIS,MphasiS Ltd,NSE,Technology,IT Services & Consulting
LTTS,L&T Technology Services Ltd,NSE,Technology,IT Services & Consulting
OFSS,Oracle Financial Services Software Ltd,NSE,Technology,IT Products
TATAELXSI,Tata Elxsi Ltd,NSE,Technology,IT Services & Consulting
HAPPSTMNDS,Happiest Minds Technologies Ltd,NSE,Technology,IT Services & Consulting
OBEROIRLTY,Oberoi Realty Ltd,NSE,Real Estate,Real Estate - Residential
GODREJPROP,Godrej Properties Ltd,NSE,Real Estate,Real Estate - Residential
PRESTIGE,Prestige Estates Projects Ltd,NSE,Real Estate,Real Estate - Residential
PHOENIXLTD,The Phoenix Mills Ltd,NSE,Real Estate,Real Estate - Commercial
LODHA,Macrotech Developers Ltd,NSE,Real Estate,Real Estate - Residential
BHARATFORG,Bharat Forge Ltd,NSE,Capital Goods,Castings & Forgings
CUMMINSIND,Cummins India Ltd,NSE,Capital Goods,Engines & Turbines
THERMAX,Thermax Ltd,NSE,Capital Goods,Heavy Electrical Equipment
KAYNES,Kaynes Technology India Ltd,NSE,Capital Goods,Electronics Manufacturing
POLYCAB,Polycab India Ltd,NSE,Capital Goods,Cables
KEI,KEI Industries Ltd,NSE,Capital Goods,Cables
ASTRAL,Astral Ltd,NSE,Capital Goods,Pipes
SUPREMEIND,Supreme Industries Ltd,NSE,Capital Goods,Pipes
APLAPOLLO,APL Apollo Tubes Ltd,NSE,Capital Goods,Pipes
CGPOWER,CG Power & Industrial Solutions Ltd,NSE,Capital Goods,Heavy Electrical Equipment
HINDPETRO,Hindustan Petroleum Corporation Ltd,NSE,Energy,Oil & Gas - Refining & Marketing
MRF,MRF Ltd,NSE,Automobile,Tyres
BALKRISIND,Balkrishna Industries Ltd,NSE,Automobile,Tyres
APOLLOTYRE,Apollo Tyres Ltd,NSE,Automobile,Tyres
MOTHERSON,Samvardhana Motherson International Ltd,NSE,Automobile,Auto Ancillaries
BOSCHLTD,Bosch Ltd,NSE,Automobile,Auto Ancillaries
ESCORTS,Escorts Kubota Ltd,NSE,Automobile,Automobiles - Tractors
ASHOKLEY,Ashok Leyland Ltd,NSE,Automobile,Automobiles - Commercial Vehicles
TVSMOTOR,TVS Motor Company Ltd,NSE,Automobile,Automobiles - Two Wheelers
ABCAPITAL,Aditya Birla Capital Ltd,NSE,Financial Services,Finance - NBFC
AUBANK,AU Small Finance Bank Ltd,NSE,Financial Services,Banks - Private Sector
LICHSGFIN,LIC Housing Finance Ltd,NSE,Financial Services,Finance - Housing
RECLTD,REC Ltd,NSE,Financial Services,Finance - Term Lending
PFC,Power Finance Corporation Ltd,NSE,Financial Services,Finance - Term Lending
IRFC,Indian Railway Finance Corporation Ltd,NSE,Financial Services,Finance - Term Lending
CONCOR,Container Corporation of India Ltd,NSE,Services,Logistics
DELHIVERY,Delhivery Ltd,NSE,Services,Logistics
SONACOMS,Sona BLW Precision Forgings Ltd,NSE,Automobile,Auto Ancillaries
TORNTPOWER,Torrent Power Ltd,NSE,Energy,Power Generation & Distribution
CESC,CESC Ltd,NSE,Energy,Power Generation & Distribution
JSL,Jindal Stainless Ltd,NSE,Metals,Steel
JINDALSTEL,Jindal Steel & Power Ltd,NSE,Metals,Steel
NATIONALUM,National Aluminium Company Ltd,NSE,Metals,Aluminium
HINDZINC,Hindustan Zinc Ltd,NSE,Metals,Mining - Zinc
ACC,ACC Ltd,NSE,Construction,Cement
RAMCOCEM,The Ramco Cements Ltd,NSE,Construction,Cement
JKCEMENT,JK Cement Ltd,NSE,Construction,Cement
DALBHARAT,Dalmia Bharat Ltd,NSE,Construction,Cement
STARHEALTH,Star Health & Allied Insurance Co Ltd,NSE,Financial Services,Insurance - Health
CANFINHOME,Can Fin Homes Ltd,NSE,Financial Services,Finance - Housing
